officer_id,crid,gender,race,race_edit,star,birth_year
4039,1064877,F,WHITE,White,1302,
6522,1064877,M,SPANISH (DO NOT USE),Hispanic,1307,
7026,1064886,M,WHITE,White,13731,
9114,1064886,M,SPANISH (DO NOT USE),Hispanic,19182,
7119,1064895,M,SPANISH (DO NOT USE),Hispanic,12640,
7285,1064895,M,BLACK,Black,12987,
2472,1064912,F,BLACK,Black,15239,
1160,1064958,M,SPANISH (DO NOT USE),Hispanic,16331,
2346,1064958,M,WHITE,White,1089,
4288,1064958,M,WHITE,White,305,
7257,1064958,M,WHITE,White,6344,
3024,1065005,M,WHITE,White,7811,
3981,1065005,M,WHITE,White,7708,
5285,1065020,M,WHITE,White,901,
9079,1065027,M,WHITE,White,4776,
9303,1065038,M,WHITE,White,19329,
3550,1065043,M,WHITE,White,6623,
1749,1065052,M,WHITE,White,3404,
2718,1065052,M,WHITE,White,8667,
8550,1065052,M,WHITE,White,13487,
9369,1065052,M,WHITE,White,7760,
9592,1065052,M,WHITE HISPANIC,White/Hispanic,4711,
5877,1065057,F,BLACK,Black,16365,
8453,1065057,M,BLACK,Black,6724,
9018,1065057,M,WHITE,White,4142,
7386,1065076,F,BLACK,Black,18719,
282,1065091,M,WHITE,White,10059,
2075,1065091,F,SPANISH (DO NOT USE),Hispanic,7941,
2882,1065091,M,SPANISH (DO NOT USE),Hispanic,11733,
3079,1065091,M,SPANISH (DO NOT USE),Hispanic,1180,
3695,1065091,M,WHITE,White,7446,
6039,1065091,M,WHITE,White,8467,
7938,1065091,M,WHITE,White,5412,
9301,1065091,M,WHITE,White,1238,
9325,1065091,M,WHITE,White,8521,
9628,1065091,M,WHITE,White,2709,
5809,1065115,F,WHITE,White,16499,
2026,1065173,M,SPANISH (DO NOT USE),Hispanic,18356,
9405,1065173,M,SPANISH (DO NOT USE),Hispanic,10490,
561,1065184,M,WHITE,White,19823,
6838,1065184,M,WHITE,White,12406,
9355,1065184,M,SPANISH (DO NOT USE),Hispanic,15009,
908,1065189,F,SPANISH (DO NOT USE),Hispanic,1957,
9320,1065189,M,WHITE,White,386,
1340,1065200,M,SPANISH (DO NOT USE),Hispanic,8941,
1724,1065200,M,WHITE,White,6150,
2225,1065200,M,WHITE,White,6732,
2956,1065200,M,WHITE,White,7649,
3174,1065200,M,WHITE,White,16364,
5285,1065200,M,WHITE,White,901,
5669,1065200,M,BLACK,Black,10230,
5978,1065200,M,WHITE,White,2773,
9086,1065200,M,BLACK,Black,11740,
8891,1065214,M,WHITE,White,2381,
7231,1065236,F,WHITE,White,17648,
9612,1065236,M,ASIAN/PACIFIC ISLANDER,Asian,19569,
326,1065264,F,BLACK,Black,6683,
1145,1065264,F,BLACK,Black,17903,
1501,1065264,M,BLACK,Black,9844,
2364,1065264,M,BLACK,Black,3463,
3778,1065264,M,BLACK,Black,16589,
5036,1065264,F,BLACK,Black,8004,
5344,1065264,M,BLACK,Black,18923,
7247,1065264,M,WHITE,White,9338,
7857,1065264,F,BLACK,Black,1564,
8486,1065264,M,BLACK,Black,868,
9584,1065264,F,BLACK,Black,5186,
3431,1065270,F,BLACK,Black,17551,
6865,1065270,M,ASIAN/PACIFIC ISLANDER,Asian,10650,
5798,1065335,M,WHITE,White,2137,
5869,1065336,M,WHITE,White,8394,
0,1065378,M,WHITE,White,,
4864,1065383,F,WHITE,White,8786,
8842,1065383,M,WHITE,White,9302,
6519,1065428,M,SPANISH (DO NOT USE),Hispanic,2478,
8169,1065428,M,SPANISH (DO NOT USE),Hispanic,484,
9049,1065428,M,WHITE,White,12422,
9385,1065428,M,WHITE,White,5625,
887,1065449,F,WHITE,White,6262,
507,1065485,M,SPANISH (DO NOT USE),Hispanic,12678,
5607,1065503,M,WHITE,White,8516,
8597,1065524,M,WHITE,White,514,
8727,1065524,M,WHITE,White,15647,
1410,1065542,M,BLACK,Black,5646,
9001,1065542,M,WHITE,White,18370,
9477,1065542,M,SPANISH (DO NOT USE),Hispanic,2287,
5378,1065556,M,WHITE,White,19874,
7592,1065559,M,SPANISH (DO NOT USE),Hispanic,1711,
4317,1065597,M,WHITE,White,17607,
4577,1065597,F,WHITE,White,6342,
8564,1065597,F,WHITE,White,7738,
2497,1065687,M,WHITE,White,14600,
2835,1065687,M,WHITE,White,18696,
8682,1065706,F,BLACK,Black,4947,
1705,1065722,M,WHITE,White,17280,
6528,1065722,F,SPANISH (DO NOT USE),Hispanic,6678,
8264,1065722,M,WHITE,White,16457,
9111,1065722,M,WHITE,White,14307,
9169,1065722,M,WHITE,White,3981,
9309,1065722,M,BLACK,Black,8813,
6857,1065723,M,SPANISH (DO NOT USE),Hispanic,8364,
5208,1065729,M,WHITE,White,5089,
6310,1065758,M,WHITE,White,14604,
9581,1065758,M,WHITE,White,,
5630,1065778,M,WHITE,White,19420,
251,1065812,F,BLACK,Black,4673,
2340,1065812,F,SPANISH (DO NOT USE),Hispanic,17494,
1976,1065814,M,WHITE,White,5741,
995,1065820,M,WHITE,White,3620,
9030,1065834,M,WHITE,White,56.00,
9343,1065834,M,WHITE,White,5444,
2448,1065865,M,SPANISH (DO NOT USE),Hispanic,7019,
4596,1065865,M,SPANISH (DO NOT USE),Hispanic,13516,
1307,1065901,M,WHITE,White,14627,
4067,1065965,M,WHITE,White,6403,
5161,1065984,M,WHITE,White,10068,
9242,1065991,M,BLACK,Black,1576,
9122,1066062,M,WHITE,White,,
5500,1066117,M,WHITE,White,9229,
9386,1066117,M,WHITE,White,3157,
636,1066142,M,WHITE,White,13670,
7536,1066218,M,BLACK,Black,12957,
321,1066220,M,WHITE,White,13137,
5098,1066265,M,WHITE,White,278,
8954,1066273,F,BLACK,Black,13187,
5433,1066294,F,SPANISH (DO NOT USE),Hispanic,4146,
8824,1066294,M,WHITE,White,5935,
1007,1066306,M,BLACK,Black,16952,
3916,1066309,M,WHITE,White,8143,
4279,1066309,M,WHITE,White,15895,
4710,1066309,M,WHITE,White,11549,
5866,1066309,M,WHITE,White,9595,
6884,1066309,M,SPANISH (DO NOT USE),Hispanic,16967,
3121,1066315,M,ASIAN/PACIFIC ISLANDER,Asian,18379,
3854,1066315,F,WHITE,White,7777,
5140,1066315,M,WHITE,White,5881,
7490,1066315,M,WHITE,White,1462,
1113,1066322,M,SPANISH (DO NOT USE),Hispanic,9021,
1403,1066322,M,WHITE,White,19028,
16,1066361,M,SPANISH (DO NOT USE),Hispanic,4853,
8004,1066361,M,SPANISH (DO NOT USE),Hispanic,15523,
2552,1066363,F,WHITE,White,9213,
2245,1066378,M,SPANISH (DO NOT USE),Hispanic,8529,
2691,1066378,F,BLACK,Black,10449,
8977,1066378,F,SPANISH (DO NOT USE),Hispanic,13507,
9447,1066378,M,WHITE,White,10570,
0,1066384,M,WHITE,White,,
3020,1066402,M,BLACK,Black,8600,
3815,1066418,M,BLACK,Black,3471,
1679,1066430,M,WHITE,White,19059,
9326,1066484,F,WHITE,White,17646,
